,perturbation,n,r2,fid
479,MAGED1,368,0.9909383588948372,0.09345090645840948
480,NUMA1,367,0.9810342999904662,0.9480657526020124
481,TBXT,367,0.9904716927646267,0.14807833695696715
482,SEC16A,367,0.9899720380131818,0.20355420942976643
483,PDHX,367,0.9894382650818297,0.15807060207011325
484,MED10,367,0.9673235474857498,2.2468653794374553
485,VPS13C,367,0.9872766224922919,0.32049562218783123
486,WBP11,367,0.9864312143939292,0.0797525584466694
487,TMED7,367,0.9895480996182194,0.37882080115888783
488,EZR,366,0.9906388012653194,0.17383901988695882
489,SRF,366,0.9903445743422047,0.1882927820998077
490,POLR3E,366,0.9884778340545632,0.315445313547178
491,MTG2,366,0.9893557834519378,0.16958439709158846
492,DONSON,366,0.9784913432891482,1.2205299204310727
493,OR2A1,365,0.9901576347279849,0.1458149795252286
494,THUMPD2,365,0.9899976455171371,0.1645530184971502
495,SOD1,365,0.9868965685962362,0.1843974128268382
496,EMC8,365,0.986276276278399,0.18577331872391767
497,PRKD2,364,0.9902835431666706,0.1661928240057673
498,NAA30,364,0.9858964705093501,0.15284890268489804
499,RECQL4,364,0.9873910839308019,0.19779451062177777
500,ZNF366,364,0.9902753995856225,0.12858827920021376
